,Country,Our Model,GConvLSTM,GConvGRU,DCRNN,GCLSTM,Lag,Population,Total Cases
0,Albania,35.305,57.220,63.321,55.120,57.656,26.253,2895947,36790.0
1,Andorra,13.128,16.100,13.328,20.437,15.227,12.034,?,6681.0
2,Austria,354.301,539.132,556.553,546.716,554.956,293.741,8527230,274275.0
3,Belgium,741.308,1267.445,1276.075,1277.618,1276.041,750.231,11225469,577409.0
4,Bulgaria,162.507,290.671,244.062,297.815,272.961,110.469,7245677,141751.0
5,Bosnia and Herzegovina,126.427,132.602,132.747,140.320,134.514,101.235,3791622,85441.0
6,Belarus,117.625,126.623,143.326,138.197,122.855,78.867,9475100,133352.0
7,Switzerland,360.263,546.546,575.535,551.567,568.908,339.963,8183800,317017.0
8,Czech Republic,606.554,1190.735,1216.462,1208.897,1216.743,533.954,10521600,518649.0
9,Germany,1055.031,2394.362,2434.926,2409.139,2428.319,717.620,80783000,1042700.0
10,Denmark,97.108,106.218,103.794,111.720,101.835,77.318,5655750,78354.0
11,Spain,1410.183,4277.352,4370.568,4267.077,4379.873,1222.648,46507760,1628208.0
12,Estonia,24.021,27.197,25.483,28.074,27.806,16.762,1315819,11714.0
13,Finland,40.762,40.351,39.602,47.565,40.565,32.102,5470437,24328.0
14,France,2825.730,6037.949,6093.992,6058.247,6102.155,2750.654,66078000,2208699.0
15,Faeroe Islands,2.371,2.885,2.946,3.791,2.681,2.219,?,502.0
16,United Kingdom,1433.775,3844.083,3903.027,3878.909,3901.255,1123.762,64105654,1605172.0
17,Guernsey,1.181,1.595,1.449,1.588,1.233,1.059,63085,286.0
18,Greece,115.203,125.022,143.908,136.400,144.546,92.157,10992589,103034.0
19,Croatia,169.557,190.417,214.187,202.408,206.199,91.744,4267558,123696.0
20,Hungary,365.470,1409.187,1461.592,1441.786,1461.991,175.614,9879000,211529.0
21,Isle of Man,1.311,1.356,1.557,2.200,1.257,1.306,84497,369.0
22,Ireland,99.533,103.399,115.163,105.325,104.482,96.972,6378000,71944.0
23,Iceland,9.053,12.351,9.004,14.814,9.199,9.833,328170,5371.0
24,Italy,1704.489,4047.490,4082.593,4061.305,4082.706,1228.725,60769102,1564532.0
25,Jersey,2.635,3.093,3.313,4.818,3.230,2.355,99000,928.0
26,Liechtenstein,2.958,4.250,3.203,4.858,2.936,2.519,37132,1279.0
27,Lithuania,107.706,105.967,99.990,105.756,91.709,63.503,2927310,60193.0
28,Luxembourg,71.665,83.424,70.388,77.558,69.813,58.059,549700,33425.0
29,Latvia,28.680,30.568,29.986,29.281,31.147,18.404,1991800,16565.0
30,Monaco,1.535,2.102,1.918,2.508,1.668,1.426,36950,607.0
31,Moldova,111.032,162.858,151.430,185.505,145.297,70.454,3557600,105854.0
32,Macedonia,81.302,84.447,94.891,101.623,81.484,60.093,?,60737.0
33,Malta,15.057,22.651,16.658,37.651,18.117,16.827,416055,12261.0
34,Montenegro,49.581,54.722,62.524,72.116,60.801,44.065,?,34454.0
35,Netherlands,498.032,1049.102,1081.024,1064.803,1077.315,398.540,16881000,512695.0
36,Norway,37.610,48.139,42.403,55.983,42.942,37.991,5156450,34747.0
37,Poland,1266.121,5540.406,5603.294,5567.581,5618.721,849.216,38496000,973595.0
38,Portugal,380.087,562.017,571.412,559.387,582.978,318.883,10477800,326556.0
39,Romania,392.172,881.184,885.819,881.390,898.689,269.846,19942642,465983.0
40,Russia,1441.259,5401.936,5505.554,5461.271,5520.189,971.269,146233000,2269316.0
41,San Marino,4.330,5.515,5.161,6.845,4.978,5.324,32743,1593.0
42,Serbia,314.625,331.601,347.661,337.635,355.833,180.556,7186862,163038.0
43,Slovakia,153.145,170.400,198.805,188.072,134.631,107.583,5415949,104635.0
44,Slovenia,106.603,149.921,168.166,173.940,97.329,129.414,2064966,123100.0
45,Sweden,299.714,409.448,392.926,412.836,397.294,213.849,9737521,254057.0
46,Ukraine,1079.495,1506.138,1560.283,1518.253,1564.200,752.926,42973696,693419.0
